Name,Date,Location,Type,Region
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024,Frye Art Museum,Museums,Capitol Hill / Central District
X:The Life and Times of Malcolm X,Now through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Bach St. John Passion,Now through 3/9/2024,Benaroya Hall,Music,Downtown
Ariel Pink,3/9/2024,El Corazon,Music,Downtown
Biblioteka,3/9/2024,Sunset Tavern,Music,Fremont / Ballard
Carnaval with EntreMundos Big Band,3/9/2024,The Royal Room,Music,South Seattle
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown
Emily Calandrelli: Unleash Your Inner Scientist,3/9/2024,Town Hall Seattle,Readings & Lectures,Downtown
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown
The Paper Kites,3/9/2024,The Neptune Theatre,Music,University District
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard
Luchadora!,Now through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
Deseo Carmin,3/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Our Place in this World: Winter 2024 Concert,3/10/2024,Town Hall Seattle,Music,Downtown
Rhapsody in Shmaltz,3/10/2024,The Royal Room,Music,South Seattle
Short Stories Live: Through Someone Else¡¯s Eyes,3/10/2024,Town Hall Seattle,Readings & Lectures,Downtown
Angie McMahon,3/11/2024,The Crocodile,Music,Downtown
Crosses,3/11/2024,The Moore Theatre,Music,Downtown
Dancing With The Stars,3/11/2024,The Paramount Theatre,Dance,Downtown
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024,The Royal Room,Music,South Seattle
Sasha LaPointe,3/11/2024,Town Hall Seattle,Readings & Lectures,Downtown
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Special EFX All Stars,3/12/2024,The Triple Door,Music,Downtown
TommyInnit,3/12/2024,The Neptune Theatre,Music,University District
Black Uhuru,3/13/2024,Nectar Lounge,Music,Fremont / Ballard
Cat Power,3/13/2024,The Moore Theatre,Music,Downtown
Cody Bartels,3/13/2024,High Dive,Music,Fremont / Ballard
Eyedress,3/13/2024,The Showbox,Music,Downtown
Kendra Morris,3/13/2024,Sunset Tavern,Music,Fremont / Ballard
My Dinner with SAM,3/13/2024,Seattle Art Museum,Museums,Downtown
Susannah Fox with Sally James,3/13/2024,Town Hall Seattle,Readings & Lectures,Downtown
Tim Berne Trio,3/13/2024,The Royal Room,Music,South Seattle
Cool Company,3/14/2024,High Dive,Music,Fremont / Ballard
Replay Matinee: Roxanne Dunbar-Ortiz,3/14/2024,Town Hall Seattle,Readings & Lectures,Downtown
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Taste Washington: Pacific Standard,3/14/2024,Pier 62,Festivals & Special Events,Downtown
"The Lord of the Rings, The Return of the King",3/14/2024,National Nordic Museum,Museums,Fremont / Ballard
Tricia Romano: Voices of the Village,3/14/2024,Town Hall Seattle,Readings & Lectures,Downtown
Veeze,3/14/2024,The Neptune Theatre,Music,University District
Autoheart,3/15/2024,El Corazon,Music,Downtown
